"253","Nièvroz"
"254","Nivollet-Montgriffon"
"255","Ochiaz"
"256","Oncieu"
"257","Ordonnaz"
"258","Ornex"
"259","Outriaz"
"260","Oyonnax"
"261","Ozan"
"262","Parcieux"
"263","Parves"
"264","Passin"
"265","Péron"
"266","Péronnas"
"267","Pérouges"
"268","Perrex"
"269","Le Petit-Abergement"
"270","Peyriat"
"271","Peyzieux-sur-Saône"
"272","Pirajoux"
"273","Pizay"
"274","Plagne"
"275","Le Plantay"
"276","Le Poizat"
"277","Polliat"
"278","Pollieu"
"279","Poncin"
"280","Pont-d'Ain"
"281","Pont-de-Vaux"
"282","Pont-de-Veyle"
"283","Port"
"284","Pougny"
"285","Pouillat"
"286","Prémeyzel"
"287","Prémillieu"
"288","Pressiat"
"289","Prévessin-Moens"
"290","Priay"
"291","Pugieu"
"292","Ramasse"
"293","Rancé"
"294","Relevant"
"295","Replonges"
"296","Revonnas"
"297","Reyrieux"
"298","Reyssouze"
"299","Rignat"
"300","Rignieux-le-Franc"
"301","Romanèche"
"302","Romans"
"303","Rossillon"
"304","Ruffieu"
"305","Saint-Alban"
"306","Saint-André-de-Bâgé"
"307","Saint-André-de-Corcy"
"308","Saint-André-d'Huiriat"
"309","Saint-André-le-Bouchoux"
"310","Saint-André-sur-Vieux-Jonc"
"311","Saint-Bénigne"
"312","Saint-Benoît"
"313","Saint-Bois"
"314","Saint-Champ-Chatonod"
"315","Saint-Cyr-sur-Menthon"
"316","Saint-Denis-lès-Bourg"
"317","Saint-Denis-en-Bugey"
"318","Saint-Didier-d'Aussiat"
"319","Saint-Didier-de-Formans"
"320","Saint-Didier-sur-Chalaronne"
"321","Saint-Éloi"
"322","Saint-Étienne-du-Bois"
"323","Saint-Étienne-sur-Chalaronne"
"324","Saint-Étienne-sur-Reyssouze"
"325","Sainte-Euphémie"
"326","Saint-Genis-Pouilly"
"327","Saint-Genis-sur-Menthon"
"328","Saint-Georges-sur-Renon"
"329","Saint-Germain-de-Joux"
"330","Saint-Germain-les-Paroisses"
"331","Saint-Germain-sur-Renon"
"332","Saint-Jean-de-Gonville"
"333","Saint-Jean-de Niost"
"334","Saint-Jean-de-Thurigneux"
"335","Saint-Jean-sur-Reyssouze"
"336","Saint-Jean-sur-Veyle"
"337","Sainte-Julie"
"338","Saint-Julien-sur-Reyssouze"
"339","Saint-Julien-sur-Veyle"
"340","Saint-Laurent-sur-Saône"
"341","Saint-Martin-de-Bavel"
"342","Saint-Martin-du-Frêne"
"343","Saint-Martin-du-Mont"
"344","Saint-Martin-le-Châtel"
"345","Saint-Maurice-de-Beynost"
"346","Saint-Maurice-de-Gourdans"
"347","Saint-Maurice-de-Rémens"
"348","Saint-Nizier-le-Bouchoux"
"349","Saint-Nizier-le-Désert"
"350","Sainte-Olive"
"351","Saint-Paul-de-Varax"
"352","Saint-Rambert-en-Bugey"
"353","Saint-Rémy"
"354","Saint-Sorlin-en-Bugey"
"355","Saint-Trivier-de-Courtes"
"356","Saint-Trivier-sur-Moignans"
"357","Saint-Vulbas"
"358","Salavre"
"359","Samognat"
"360","Sandrans"
"361","Sault-Brénaz"
"362","Sauverny"
"363","Savigneux"
"364","Ségny"
"365","Seillonnaz"
"366","Sergy"
"367","Sermoyer"
"368","Serrières-sur-Ain"
"369","Servas"
"370","Servignat"
"371","Simandre-sur-Suran"
"372","Songieu"
"373","Sonthonnax-la-Montagne"
"374","Souclin"
"375","Sulignat"
"376","Surjoux"
"377","Sutrieu"
"378","Talissieu"
"379","Tenay"
"380","Thézillieu"
"381","Thil"
"382","Thoissey"
"383","Torcieu"
"384","Tossiat"
"385","Toussieux"
"386","Tramoyes"
"387","La Tranclière"
"388","Trévoux"
"389","Valeins"
"390","Vandeins"
"391","Varambon"
"392","Vaux-en-Bugey"
"393","Verjon"
"394","Vernoux"
"395","Versailleux"
"396","Vesancy"
"397","Vescours"
"398","Vésines"
"399","Veyziat"
"400","Vieu-d'Izenave"
"401","Vieu"
"402","Villars-les-Dombes"
"403","Villebois"
"404","Villemotier"
